,Ticker,Date,variable,Value
0,ADRO,2015-07-06,Open,755
1,ADRO,2015-07-07,Open,740
2,ADRO,2015-07-08,Open,695
3,ADRO,2015-07-09,Open,650
4,ADRO,2015-07-10,Open,635
5,ADRO,2015-07-13,Open,640
6,ADRO,2015-07-14,Open,620
7,ADRO,2015-07-15,Open,590
8,ADRO,2015-07-22,Open,600
9,ADRO,2015-07-23,Open,580
10,ADRO,2015-07-24,Open,590
11,ADRO,2015-07-27,Open,560
12,ADRO,2015-07-28,Open,565
13,ADRO,2015-07-29,Open,600
14,ADRO,2015-07-30,Open,600
15,ADRO,2015-07-31,Open,590
16,ADRO,2015-08-03,Open,590
17,ADRO,2015-08-04,Open,570
18,ADRO,2015-08-05,Open,595
19,ADRO,2015-08-06,Open,600
20,ADRO,2015-08-07,Open,595
21,ADRO,2015-08-10,Open,580
22,ADRO,2015-08-11,Open,570
23,ADRO,2015-08-12,Open,505
24,ADRO,2015-08-13,Open,491
25,ADRO,2015-08-14,Open,505
26,ADRO,2015-08-18,Open,492
27,ADRO,2015-08-19,Open,497
28,ADRO,2015-08-20,Open,491
29,ADRO,2015-08-21,Open,484
30,ADRO,2015-08-24,Open,480
31,ADRO,2015-08-25,Open,468
32,ADRO,2015-08-26,Open,540
33,ADRO,2015-08-27,Open,555
34,ADRO,2015-08-28,Open,605
35,ADRO,2015-08-31,Open,625
36,ADRO,2015-09-01,Open,595
37,ADRO,2015-09-02,Open,565
38,ADRO,2015-09-03,Open,620
39,ADRO,2015-09-04,Open,620
40,ADRO,2015-09-07,Open,580
41,ADRO,2015-09-08,Open,555
42,ADRO,2015-09-09,Open,580
43,ADRO,2015-09-10,Open,570
44,ADRO,2015-09-11,Open,550
45,ADRO,2015-09-14,Open,575
46,ADRO,2015-09-15,Open,575
47,ADRO,2015-09-16,Open,590
48,ADRO,2015-09-17,Open,585
49,ADRO,2015-09-18,Open,585
50,ADRO,2015-09-21,Open,590
51,ADRO,2015-09-22,Open,605
52,ADRO,2015-09-23,Open,590
53,ADRO,2015-09-25,Open,580
54,ADRO,2015-09-28,Open,585
55,ADRO,2015-09-29,Open,525
56,ADRO,2015-09-30,Open,520
57,ADRO,2015-10-01,Open,515
58,ADRO,2015-10-02,Open,525
59,ADRO,2015-10-05,Open,525
60,ADRO,2015-10-06,Open,545
61,ADRO,2015-10-07,Open,570
62,ADRO,2015-10-08,Open,620
63,ADRO,2015-10-09,Open,635
64,ADRO,2015-10-12,Open,685
65,ADRO,2015-10-13,Open,695
66,ADRO,2015-10-15,Open,635
67,ADRO,2015-10-16,Open,650
68,ADRO,2015-10-19,Open,650
69,ADRO,2015-10-20,Open,640
70,ADRO,2015-10-21,Open,685
71,ADRO,2015-10-22,Open,650
72,ADRO,2015-10-23,Open,650
73,ADRO,2015-10-26,Open,675
74,ADRO,2015-10-27,Open,675
75,ADRO,2015-10-28,Open,650
76,ADRO,2015-10-29,Open,650
77,ADRO,2015-10-30,Open,610
78,ADRO,2015-11-02,Open,600
79,ADRO,2015-11-03,Open,620
80,ADRO,2015-11-04,Open,650
81,ADRO,2015-11-05,Open,650
82,ADRO,2015-11-06,Open,640
83,ADRO,2015-11-09,Open,630
84,ADRO,2015-11-10,Open,615
85,ADRO,2015-11-11,Open,615
86,ADRO,2015-11-12,Open,640
87,ADRO,2015-11-13,Open,600
88,ADRO,2015-11-16,Open,575
89,ADRO,2015-11-17,Open,570
90,ADRO,2015-11-18,Open,560
91,ADRO,2015-11-19,Open,585
92,ADRO,2015-11-20,Open,605
