,Ticker,Date,variable,Value
22563,ADRO,2015-07-06,Close,740
22564,ADRO,2015-07-07,Close,700
22565,ADRO,2015-07-08,Close,655
22566,ADRO,2015-07-09,Close,630
22567,ADRO,2015-07-10,Close,635
22568,ADRO,2015-07-13,Close,620
22569,ADRO,2015-07-14,Close,585
22570,ADRO,2015-07-15,Close,595
22571,ADRO,2015-07-22,Close,575
22572,ADRO,2015-07-23,Close,595
22573,ADRO,2015-07-24,Close,560
22574,ADRO,2015-07-27,Close,555
22575,ADRO,2015-07-28,Close,600
22576,ADRO,2015-07-29,Close,590
22577,ADRO,2015-07-30,Close,585
22578,ADRO,2015-07-31,Close,590
22579,ADRO,2015-08-03,Close,570
22580,ADRO,2015-08-04,Close,590
22581,ADRO,2015-08-05,Close,600
22582,ADRO,2015-08-06,Close,595
22583,ADRO,2015-08-07,Close,580
22584,ADRO,2015-08-10,Close,565
22585,ADRO,2015-08-11,Close,530
22586,ADRO,2015-08-12,Close,485
22587,ADRO,2015-08-13,Close,498
22588,ADRO,2015-08-14,Close,500
22589,ADRO,2015-08-18,Close,487
22590,ADRO,2015-08-19,Close,486
22591,ADRO,2015-08-20,Close,484
22592,ADRO,2015-08-21,Close,490
22593,ADRO,2015-08-24,Close,474
22594,ADRO,2015-08-25,Close,545
22595,ADRO,2015-08-26,Close,540
22596,ADRO,2015-08-27,Close,590
22597,ADRO,2015-08-28,Close,620
22598,ADRO,2015-08-31,Close,595
22599,ADRO,2015-09-01,Close,575
22600,ADRO,2015-09-02,Close,610
22601,ADRO,2015-09-03,Close,620
22602,ADRO,2015-09-04,Close,580
22603,ADRO,2015-09-07,Close,555
22604,ADRO,2015-09-08,Close,570
22605,ADRO,2015-09-09,Close,580
22606,ADRO,2015-09-10,Close,540
22607,ADRO,2015-09-11,Close,565
22608,ADRO,2015-09-14,Close,570
22609,ADRO,2015-09-15,Close,580
22610,ADRO,2015-09-16,Close,570
22611,ADRO,2015-09-17,Close,585
22612,ADRO,2015-09-18,Close,600
22613,ADRO,2015-09-21,Close,600
22614,ADRO,2015-09-22,Close,595
22615,ADRO,2015-09-23,Close,580
22616,ADRO,2015-09-25,Close,585
22617,ADRO,2015-09-28,Close,550
22618,ADRO,2015-09-29,Close,535
22619,ADRO,2015-09-30,Close,535
22620,ADRO,2015-10-01,Close,530
22621,ADRO,2015-10-02,Close,520
22622,ADRO,2015-10-05,Close,535
22623,ADRO,2015-10-06,Close,560
22624,ADRO,2015-10-07,Close,615
22625,ADRO,2015-10-08,Close,620
22626,ADRO,2015-10-09,Close,680
22627,ADRO,2015-10-12,Close,700
22628,ADRO,2015-10-13,Close,635
22629,ADRO,2015-10-15,Close,640
22630,ADRO,2015-10-16,Close,640
22631,ADRO,2015-10-19,Close,645
22632,ADRO,2015-10-20,Close,670
22633,ADRO,2015-10-21,Close,650
22634,ADRO,2015-10-22,Close,635
22635,ADRO,2015-10-23,Close,670
22636,ADRO,2015-10-26,Close,680
22637,ADRO,2015-10-27,Close,665
22638,ADRO,2015-10-28,Close,650
22639,ADRO,2015-10-29,Close,615
22640,ADRO,2015-10-30,Close,595
22641,ADRO,2015-11-02,Close,610
22642,ADRO,2015-11-03,Close,640
22643,ADRO,2015-11-04,Close,655
22644,ADRO,2015-11-05,Close,630
22645,ADRO,2015-11-06,Close,620
